date,poi_id,display_name_en,category_clean,query_area,lat,lon,crowdindex_poi,crowd_pressure_100,city_demand_score,poi_weight_value
2026-05-03,otm_Q64517880,Ali Pertek Mosque,religious,Rumeli Hisari,41.08858108520508,29.056739807128903,0.0020249006625281,53.82,0.6084517240524292,0.0033279561590225
2026-05-03,otm_Q20855697,Women's Museum Istanbul,museum,Topkapi Palace,41.01163864135742,28.981369018554688,0.0020172014213147,53.62,0.6084517240524292,0.0033153023347189
2026-05-03,otm_Q29877998,Hayal Kahvesi,attraction,Istiklal / Pera,41.03554916381836,28.983484268188477,0.0020149010642124,53.56,0.6084517240524292,0.0033115216615588
2026-05-03,otm_N5108828680,Istanbul Railway Museum,museum,Eminonu / Spice Bazaar,41.0152702331543,28.977020263671875,0.0020144496804788,53.54,0.6084517240524292,0.0033107798052771
2026-05-03,otm_W401123337,Beylerbeyi Mosque,religious,Beylerbeyi Palace,41.04497528076172,29.04461669921875,0.0020131658960939,53.51,0.6084517240524292,0.0033086698854032
2026-05-03,otm_N5862307939,Bülbülderesi Mezarlığı,historic,Uskudar Waterfront,41.0261344909668,29.02469825744629,0.0020094022008869,53.41,0.6084517240524292,0.0033024841930004
2026-05-03,otm_N5081442512,Rezan Has Museum,museum,Balat / Fener,41.0252799987793,28.958433151245117,0.0020093794050781,53.41,0.6084517240524292,0.0033024467277293
2026-05-03,otm_Q25474044,Surp Asdvadzadzin Ermeni Katolik Kilisesi,religious,Istiklal / Pera,41.0352783203125,28.97944450378418,0.0020069180365545,53.34,0.6084517240524292,0.0032984014297601
2026-05-03,otm_Q6019728,Surp Hovhan Vosgeperan Kilisesi,religious,Istiklal / Pera,41.0352783203125,28.97944450378418,0.0020069180365545,53.34,0.6084517240524292,0.0032984014297601
2026-05-03,otm_W401244752,Aya Pandeleimon Rum Ortodoks Kilisesi,religious,Beylerbeyi Palace,41.03459548950195,29.03047561645508,0.0020015521210896,53.2,0.6084517240524292,0.0032895824631062
2026-05-03,otm_W498861874,Bezmialem Valide Sultan Camii,religious,Dolmabahce,41.036773681640625,28.9952335357666,0.0020001593174451,53.16,0.6084517240524292,0.0032872933683606
2026-05-03,otm_W329089871,Aziz Mahmud Hudayi Vakfi Gazanfer Ağa Medresesi Egitim ve Kultur Merkezi,museum,Fatih / Valens Aqueduct,41.01634216308594,28.95543670654297,0.0019983545591452,53.12,0.6084517240524292,0.0032843272196449
2026-05-03,otm_N5243953336,Yavuz Sultan Selim Mosque,religious,Balat / Fener,41.026519775390625,28.951000213623047,0.0019955847406958,53.04,0.6084517240524292,0.0032797749793604
2026-05-03,otm_N6373080188,Nusretiye Clock Tower,attraction,Galata Tower,41.02655792236328,28.982908248901367,0.001993745921958,52.99,0.6084517240524292,0.003276752851778
2026-05-03,otm_W315742598,Dragoman Yunus Beg Mosque,religious,Balat / Fener,41.02887344360352,28.9440860748291,0.001993513036112,52.99,0.6084517240524292,0.0032763701002189
2026-05-03,otm_W237058776,Söğütlüçeşme Mosque,religious,Kadikoy Historic Center,40.9922981262207,29.03331756591797,0.0019913704148554,52.93,0.6084517240524292,0.0032728486684078
2026-05-03,otm_Q25474126,Ortaköy Surp Krikor Lusavoriç Kilisesi,religious,Ortakoy,41.0521125793457,29.024194717407227,0.0019900803853236,52.9,0.6084517240524292,0.0032707284845366
2026-05-03,otm_Q20471350,Surp Yerrortutyun Armenian Church,religious,Istiklal / Pera,41.03424453735352,28.97757911682129,0.0019892451548254,52.87,0.6084517240524292,0.0032693557700464
2026-05-03,otm_Q20474293,Ortaköy Surp Asdvadzadzin Kilisesi,religious,Ortakoy,41.04979705810547,29.02303123474121,0.0019875459749999,52.83,0.6084517240524292,0.0032665631412175
2026-05-03,otm_Q6102514,Fenerbahçe Museum,museum,Kadikoy Historic Center,40.98807144165039,29.037443161010746,0.0019871981944046,52.82,0.6084517240524292,0.0032659915583269
2026-05-03,otm_Q31188713,Panayia Hançeriotissa Kilisesi,religious,Balat / Fener,41.0329704284668,28.940889358520508,0.0019864970387291,52.8,0.6084517240524292,0.0032648391979212
2026-05-03,otm_Q1335287,Emek Sineması,attraction,Istiklal / Pera,41.034908294677734,28.97969627380371,0.0019853230987783,52.77,0.6084517240524292,0.0032629098091064
2026-05-03,otm_W103339340,Museum Of Ancient Orient,museum,Topkapi Palace,41.01144790649414,28.9804630279541,0.0019846932541969,52.75,0.6084517240524292,0.003261874649608
2026-05-03,otm_W401296646,Beth Yaakov Sinagogu,religious,Beylerbeyi Palace,41.03620147705078,29.029705047607425,0.0019819871744557,52.68,0.6084517240524292,0.0032574271648952
2026-05-03,otm_W132277802,Firuz Ağa Mosque,religious,Sultanahmet Core,41.007835388183594,28.976177215576172,0.0019782356021024,52.58,0.6084517240524292,0.0032512613965935
2026-05-03,otm_N3254460381,Aviation Martyrs' Monument,historic,Fatih / Valens Aqueduct,41.016075134277344,28.952634811401367,0.0019737992898005,52.46,0.6084517240524292,0.0032439702473921
2026-05-03,otm_N6525497699,Oyun Atölyesi,attraction,Kadikoy Historic Center,40.98635482788086,29.0257625579834,0.0019716034482035,52.41,0.6084517240524292,0.0032403613471126
2026-05-03,otm_Q6035037,Ses Theater,attraction,Istiklal / Pera,41.03450775146485,28.97919273376465,0.001968430109446,52.32,0.6084517240524292,0.0032351459148408
2026-05-03,otm_N5665713222,Atlas,attraction,Istiklal / Pera,41.034183502197266,28.97917366027832,0.001968430109446,52.32,0.6084517240524292,0.0032351459148408
2026-05-03,otm_N6432240559,Ortaoyuncular Tiyatrosu,attraction,Istiklal / Pera,41.034400939941406,28.979145050048828,0.001968430109446,52.32,0.6084517240524292,0.0032351459148408
2026-05-03,otm_Q30682582,Piyer Loti Museum,museum,Eyup / Pierre Loti,41.054443359375,28.934165954589844,0.0019683757688654,52.32,0.6084517240524292,0.0032350566052399
2026-05-03,otm_N6560073264,Rexx Cinema,attraction,Kadikoy Historic Center,40.98738098144531,29.026870727539062,0.0019622061344559,52.16,0.6084517240524292,0.0032249167138309
2026-05-03,otm_N4889905032,SALT Galata,museum,Galata Tower,41.02387237548828,28.973472595214844,0.0019617693140583,52.14,0.6084517240524292,0.0032241987926216
2026-05-03,otm_Q6070291,Mahmutpaşa Camii,religious,Eminonu / Spice Bazaar,41.0111198425293,28.971330642700195,0.0019616849748419,52.14,0.6084517240524292,0.0032240601797899
2026-05-03,otm_N3386270532,Galatasaray Museum,museum,Istiklal / Pera,41.03348159790039,28.976940155029297,0.0019609013672018,52.12,0.6084517240524292,0.0032227723082808
2026-05-03,otm_W309052088,Mesih Mehmed Pasha Mosque,religious,Balat / Fener,41.02188873291016,28.943557739257812,0.0019608669180845,52.12,0.6084517240524292,0.0032227156906135
2026-05-03,otm_W104061375,Zeynep Sultan Mosque,religious,Hagia Sophia / Basilica Cistern,41.01007080078125,28.978498458862305,0.0019563420337426,52.0,0.6084517240524292,0.003215278971868
2026-05-03,otm_W238027309,Çinili Mosque,religious,Uskudar Waterfront,41.01979446411133,29.029155731201172,0.0019518834618212,51.88,0.6084517240524292,0.0032079512386312
2026-05-03,otm_N5108828685,Basketmakers' Kiosk,museum,Topkapi Palace,41.01629638671875,28.981937408447266,0.0019427367578525,51.64,0.6084517240524292,0.0031929184864716
2026-05-03,otm_W235271665,All Saints Moda English Church,religious,Kadikoy Historic Center,40.982086181640625,29.025239944458008,0.0019404018178503,51.58,0.6084517240524292,0.0031890809757704
2026-05-03,otm_Q3409200,Bet Nissim Synagogue,religious,Beylerbeyi Palace,41.032928466796875,29.03145980834961,0.001939337982025,51.55,0.6084517240524292,0.0031873325448215
2026-05-03,otm_W59600891,Istanbul Radio House,attraction,Dolmabahce,41.04454803466797,28.987281799316406,0.00193830449853,51.52,0.6084517240524292,0.0031856339984058
2026-05-03,otm_N269706604,Ertuğrul Tekke mosque,religious,Yildiz Palace,41.045650482177734,29.008522033691406,0.0019313307335674,51.33,0.6084517240524292,0.0031741725057567
