canonical_poi_id,canonical_name,family_name,category_clean,lat,lon,cluster_id,importance_score,member_count,member_poi_ids,source_names,group_method,wiki_title,wiki_match_type,wiki_match_quality,besttime_supported,notes
cp_103907804,Has Oda Koğuşu,Has Oda Koğuşu,historic,41.0133249,28.9841768,12,0.7054518216883723,1,103907804,Has Oda Koğuşu,single_seed,,,,,
cp_303807317,Grand Bazaar,Grand Bazaar,attraction,41.0109671,28.9682528,12,0.7047920305094901,1,303807317,Grand Bazaar,single_seed,,,,,
cp_263956600,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,historic,41.0378554,28.9973596,12,0.7035369557659662,1,263956600,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,single_seed,,,,,
cp_1377852887,Cankurtaran Mescidi,Cankurtaran Mescidi,historic,41.0049146,28.9807878,12,0.7029805333333065,1,1377852887,Cankurtaran Mescidi,single_seed,,,,,
cp_110313596,Şehzade Mehmet Kervansarayı,Şehzade Mehmet Kervansarayı,historic,41.0140646,28.9580878,12,0.7028605861821408,1,110313596,Şehzade Mehmet Kervansarayı,single_seed,,,,,
cp_5244807872,Karababa Türbesi,Karababa Türbesi,historic,41.0083008,28.9692078,12,0.7024260330596697,1,5244807872,Karababa Türbesi,single_seed,,,,,
cp_32396111,Gate of Felicity,Gate of Felicity,historic,41.0126325,28.9843785,12,0.7019385031028059,1,32396111,Gate of Felicity,single_seed,,,,,
cp_103907818,Audience Chamber,Audience Chamber,historic,41.0127679,28.9845264,12,0.7018679427006379,1,103907818,Audience Chamber,single_seed,,,,,
cp_32396231,Library of Ahmed III,Library of Ahmed III,historic,41.0130279,28.9845542,12,0.7017871550030382,1,32396231,Library of Ahmed III,single_seed,,,,,
cp_5108828680,İstanbul Railway Museum,İstanbul Railway Museum,museum,41.0151993,28.9766829,12,0.7003234796326764,1,5108828680,İstanbul Railway Museum,single_seed,,,,,
cp_175517661,Mahmut Paşa Camii,Mahmut Paşa Camii,attraction,41.0111863,28.9713768,12,0.7001537174702,1,175517661,Mahmut Paşa Camii,single_seed,,,,,
cp_1423624915,Dolmabahçe Sarayı Hazine Kapısı,Dolmabahçe Sarayı Hazine Kapısı,historic,41.0380917,28.9971133,12,0.6998066330798159,1,1423624915,Dolmabahçe Sarayı Hazine Kapısı,single_seed,,,,,
cp_3386270532,Galatasaray Museum,Galatasaray Museum,museum,41.0334816,28.9769398,12,0.6995585914852167,1,3386270532,Galatasaray Museum,single_seed,,,,,
cp_165718178,Galata Dervish House Museum,Galata Dervish House Museum,museum,41.0280128,28.9751142,12,0.6988050873461953,1,165718178,Galata Dervish House Museum,single_seed,,,,,
cp_3811143694,Stucco Museum,Stucco Museum,museum,41.029581,28.9789875,12,0.6982316747976496,1,3811143694,Stucco Museum,single_seed,,,,,
cp_969327995,Yerevan Kiosk,Yerevan Kiosk,historic,41.0138271,28.984608,12,0.6978588286277544,1,969327995,Yerevan Kiosk,single_seed,,,,,
cp_9206305917,Beyazit Kulesi,Beyazit Kulesi,historic,41.0113939,28.9646825,12,0.6976158241870705,1,9206305917,Beyazit Kulesi,single_seed,,,,,
cp_5108828006,Lions Rug and kilims Art Gallery,Lions Rug and kilims Art Gallery,museum,41.0128714,28.9778917,12,0.6968946024087085,1,5108828006,Lions Rug and kilims Art Gallery,single_seed,,,,,
cp_499944905,Atik Ali Paşa Medresesi,Atik Ali Paşa Medresesi,historic,41.00837,28.9699885,12,0.6945780725228948,2,499944905|3374681017,Atik Ali Paşa Medresesi,auto_grouped,,,,,
cp_5108836360,Sultan Spa and Wellness Center,Sultan Spa and Wellness Center,attraction,41.0123762,28.977568,12,0.6944645467474884,1,5108836360,Sultan Spa and Wellness Center,single_seed,,,,,
cp_247442912,Masumiyet Müzesi,Masumiyet Müzesi,museum,41.030862299999995,28.9798142,12,0.6940323660602588,2,247442912|3279398393,Masumiyet Müzesi | The Museum of Innocence,auto_grouped,,,,,
cp_2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),historic,41.0404574,29.0036252,12,0.6937651765556849,1,2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),single_seed,,,,,
cp_8699169212,Post Museum,Post Museum,museum,41.0147153,28.9738991,12,0.6928778912029718,1,8699169212,Post Museum,single_seed,,,,,
cp_569707977,Cat Museum,Cat Museum,museum,41.0265284,28.9749954,12,0.6920423259915169,1,569707977,Cat Museum,single_seed,,,,,
cp_32396296,Baghdad Kiosk,Baghdad Kiosk,historic,41.0141542,28.984545,12,0.6904149314171952,1,32396296,Baghdad Kiosk,single_seed,,,,,
cp_194486642,Sofa Pavilion,Sofa Pavilion,historic,41.0139667,28.9848982,12,0.6904057022331407,1,194486642,Sofa Pavilion,single_seed,,,,,
cp_1807703751,Istanbul Photography Museum,Istanbul Photography Museum,museum,41.0046397,28.967754,12,0.6886192156294152,1,1807703751,Istanbul Photography Museum,single_seed,,,,,
cp_260976707,İşbank Museum,İşbank Museum,museum,41.0160939,28.9726009,12,0.6885229138186916,1,260976707,İşbank Museum,single_seed,,,,,
cp_13385771381,Tomb of Mehmed the Hunter,Tomb of Mehmed the Hunter,historic,41.0160855,28.9717905,12,0.6867526648720581,1,13385771381,Tomb of Mehmed the Hunter,single_seed,,,,,
cp_1620494633,Tomb of Hatice Turhan Sultan,Tomb of Hatice Turhan Sultan,historic,41.0162025,28.9719047,12,0.6867309156333706,1,1620494633,Tomb of Hatice Turhan Sultan,single_seed,,,,,
cp_13385771383,V. Murat Türbesi,V. Murat Türbesi,historic,41.0161468,28.9717123,12,0.6867189612860543,1,13385771383,V. Murat Türbesi,single_seed,,,,,
cp_18161438,Nuruosmaniye Mosque,Nuruosmaniye Mosque,attraction,41.0103417,28.9704056,12,0.6866720712613593,1,18161438,Nuruosmaniye Mosque,single_seed,,,,,
cp_3400112453,Yedi Kule Hisarı Müzesi,Yedi Kule Hisarı Müzesi,museum,40.9935689,28.9239308,17,0.6832955060354509,1,3400112453,Yedi Kule Hisarı Müzesi,single_seed,,,,,
cp_32396254,Grand Kiosk,Grand Kiosk,historic,41.0137476,28.9857176,12,0.6829485914539596,1,32396254,Grand Kiosk,single_seed,,,,,
cp_1272160893,Gülhane Kapısı,Gülhane Kapısı,historic,41.0140875,28.9855319,12,0.6828882476466029,1,1272160893,Gülhane Kapısı,single_seed,,,,,
cp_9597969110,Illusion Museum,Illusion Museum,museum,41.02917,28.9749298,12,0.679951517534487,1,9597969110,Illusion Museum,single_seed,,,,,
cp_1335767641,Tekfur Sarayı Müzesi,Tekfur Sarayı Müzesi,museum,41.0339273,28.9406735,12,0.6795718201314302,1,1335767641,Tekfur Sarayı Müzesi,single_seed,,,,,
cp_23236783,Galata Tower,Galata Tower,attraction,41.0256344,28.974213,12,0.6791555268577218,1,23236783,Galata Tower,single_seed,,,,,
cp_5506396363,The Jewish Museum of Turkey,The Jewish Museum of Turkey,museum,41.0267866,28.9727283,12,0.6771078797658847,1,5506396363,The Jewish Museum of Turkey,single_seed,,,,,
cp_112174319,Sepetçiler Pavilion,Sepetçiler Pavilion,museum,41.0163283,28.9816446,12,0.6769751517558428,1,112174319,Sepetçiler Pavilion,single_seed,,,,,
cp_110234148,The Museum of Turkish Calligraphic Art,The Museum of Turkish Calligraphic Art,museum,41.0099999,28.9632173,12,0.6764537022502073,1,110234148,The Museum of Turkish Calligraphic Art,single_seed,,,,,
cp_9217070484,Türk Eczacılık Tarihi İhtisas Müzesi,Türk Eczacılık Tarihi İhtisas Müzesi,museum,41.0108493,28.9631157,12,0.6763581106854699,1,9217070484,Türk Eczacılık Tarihi İhtisas Müzesi,single_seed,,,,,
cp_333112194,Sultan 1. Abdülhamit Türbesi,Sultan 1. Abdülhamit Türbesi,historic,41.0155098,28.9741344,12,0.6762663213923491,1,333112194,Sultan 1. Abdülhamit Türbesi,single_seed,,,,,
cp_776287486,Otluk Kapısı,Otluk Kapısı,historic,41.0056915,28.9827615,12,0.6734106155233212,1,776287486,Otluk Kapısı,single_seed,,,,,
cp_13357454623,Nimelceyş Kabiri,Nimelceyş Kabiri,historic,41.0049688,28.9818618,12,0.6734037956995331,1,13357454623,Nimelceyş Kabiri,single_seed,,,,,
cp_13357454625,Bizans Lahdi,Bizans Lahdi,historic,41.0043528,28.9812179,12,0.6733065064221869,1,13357454625,Bizans Lahdi,single_seed,,,,,
cp_498861869,Naval Museum,Naval Museum,museum,41.0410687,29.0056763,12,0.6728172297152518,1,498861869,Naval Museum,single_seed,,,,,
cp_3374678647,Koca Sinan Paşa Külliyesi,Koca Sinan Paşa Külliyesi,historic,41.0088088,28.9690637,12,0.6722247030540077,1,3374678647,Koca Sinan Paşa Külliyesi,single_seed,,,,,
cp_3374678648,Kara Mustafa Paşa Külliyesi,Kara Mustafa Paşa Külliyesi,historic,41.0087157,28.9677599,12,0.6718308526207518,1,3374678648,Kara Mustafa Paşa Külliyesi,single_seed,,,,,
cp_12248507560,Dolmabahçe Clock Museum,Dolmabahçe Clock Museum,museum,41.0376899,28.9963411,12,0.6717003774745904,1,12248507560,Dolmabahçe Clock Museum,single_seed,,,,,
cp_225470886,Yeni Daire,Yeni Daire,historic,41.0404727,29.0020444,12,0.6712048601320623,1,225470886,Yeni Daire,single_seed,,,,,
cp_326370631,Saray Tiyatrosu ve Sahne Sanatları Müzesi,Saray Tiyatrosu ve Sahne Sanatları Müzesi,museum,41.0514006,29.0120193,10,0.6711540069592334,1,326370631,Saray Tiyatrosu ve Sahne Sanatları Müzesi,single_seed,,,,,
cp_175518810,Elvis Müzik,Elvis Müzik,attraction,41.0281214,28.9745159,12,0.6703840240478743,1,175518810,Elvis Müzik,single_seed,,,,,
cp_1423624917,Camlı Köşk,Camlı Köşk,museum,41.0401269,28.99951,12,0.6696588961732729,1,1423624917,Camlı Köşk,single_seed,,,,,
cp_9217099231,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,museum,41.0098561,28.9601156,12,0.668171244159425,1,9217099231,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,single_seed,,,,,
cp_1465652948,Karabaş Hazretleri Türbesi,Karabaş Hazretleri Türbesi,historic,41.0272075,28.9803769,12,0.6681106852978391,1,1465652948,Karabaş Hazretleri Türbesi,single_seed,,,,,
cp_326372295,Yıldız Sarayı Müze Müdürlüğü,Yıldız Sarayı Müze Müdürlüğü,museum,41.0499954,29.0115888,10,0.6680331141098214,1,326372295,Yıldız Sarayı Müze Müdürlüğü,single_seed,,,,,
cp_1377881422,Yedekçiler Mescidi,Yedekçiler Mescidi,historic,41.0134228,28.9874256,12,0.6679372964518958,1,1377881422,Yedekçiler Mescidi,single_seed,,,,,
