poi_id_1,name_1,name_en_1,category_1,poi_id_2,name_2,name_en_2,category_2,cluster_id,distance_km,root_overlap_score,same_category,importance_1,importance_2,group_decision,group_type,family_name,entity_name,notes
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,25428553,Sultan Ahmet Parkı,,park,12,0.13579952647987248,0.5,0,0.8041543523982415,0.6814618235586957,,,,,
1043098720,Musahiban Dairesi,,historic,225470921,Baltacılar Dairesi,,historic,12,0.13945367785052706,0.5,1,0.6564107854679812,0.6560912875959969,,,,,
225470905,Kızlarağası Dairesi,,historic,1043098720,Musahiban Dairesi,,historic,12,0.14490223148721157,0.5,1,0.6637419776059456,0.6564107854679812,,,,,
5478162925,Sarayburnu Atatürk Anıtı,Sarayburnu Atatürk Monument,historic,1488385517,Sarayburnu Arkeopark,,historic,12,0.1487667528935045,0.5,1,0.7128245704924515,0.7114292675061363,,,,,
4889905032,SALT Galata,SALT Galata,museum,708327982,Galata Surları,Galata Citywalls,historic,12,0.15224502821755573,0.5,0,0.6297774968632438,0.6202265386126733,,,,,
914394417,Dolmabahçe Sarayı İç Hazine Dairesi,Clock Museum,museum,225470905,Kızlarağası Dairesi,,historic,12,0.15530333590696252,0.5,0,0.7442553795490467,0.6637419776059456,,,,,
709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic,25428553,Sultan Ahmet Parkı,,park,12,0.15574326115823717,0.5,0,0.8004027259690221,0.6814618235586957,,,,,
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,32396432,III. Ahmet Çeşmesi,Sultan Ahmed III Fountain,attraction,12,0.1569123662151616,0.5,0,0.8041543523982415,0.7283870411993926,,,,,
109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,25428553,Sultan Ahmet Parkı,,park,12,0.16196721976254827,0.5,0,0.8003294918903925,0.6814618235586957,,,,,
4721808990,Kapali Carsi,Grand Bazaar,museum,303807317,Kapalı Çarşı,Grand Bazaar,attraction,12,0.17229363483631577,0.5,0,0.7300729005006088,0.7047920305094901,,,,,
3374681017,Atik Ali Paşa Medresesi,,historic,5244807882,Merzifonlu Kara Mustafa Paşa Medresesi,,attraction,12,0.173963058950907,0.5,0,0.6872196114313097,0.6635622935449846,,,,,
499944905,Atik Ali Paşa Medresesi,,historic,5244807882,Merzifonlu Kara Mustafa Paşa Medresesi,,attraction,12,0.17683766102925974,0.5,0,0.6945780725228948,0.6635622935449846,,,,,
2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),,historic,498861869,Deniz Müzesi,Naval Museum,museum,12,0.1849646001124763,0.5,0,0.6937651765556849,0.6728172297152518,,,,,
180866633,Yedikule Mezarlığı,,historic,20318937,Yedikule Zindanları,Yedikule Fortress,historic,17,0.18703961739782013,0.5,1,0.6613480485238161,0.6546628737267652,,,,,
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,25428553,Sultan Ahmet Parkı,,park,12,0.189926202917693,0.5,0,0.7760674446106873,0.6814618235586957,,,,,
23236783,Galata Kulesi,Galata Tower,attraction,4889905032,SALT Galata,SALT Galata,museum,12,0.2055097502595005,0.5,0,0.6791555268577218,0.6297774968632438,,,,,
110017005,İstanbul Üniversitesi Kapı Köşkü,,historic,1427911102,İstanbul Üniversitesi Atatürk ve Gençlik Anıtı,,historic,12,0.20636597734881956,0.5,1,0.6339974378474112,0.618802276789371,,,,,
110016988,İstanbul Üniversitesi Kapı Köşkü,,historic,1427911102,İstanbul Üniversitesi Atatürk ve Gençlik Anıtı,,historic,12,0.2130692625505966,0.5,1,0.6263409450360584,0.618802276789371,,,,,
13385771383,V. Murat Türbesi,,historic,333112194,Sultan 1. Abdülhamit Türbesi,,historic,12,0.2152043538858391,0.5,1,0.6867189612860543,0.6762663213923491,,,,,
225470917,I. Hareket Köşkü,,historic,1423624916,Kuşluk Köşkü,,historic,12,0.21928038070195996,0.5,1,0.6638234896402336,0.6606261921843108,,,,,
708327981,Galata citywalls,,historic,4889905032,SALT Galata,SALT Galata,museum,12,0.2288129547041352,0.5,0,0.6347668799982107,0.6297774968632438,,,,,
527580309,Keçecizâde Fuad Paşa Türbesi,Turbe of Keçecizâde Fuad Pasha,historic,13385771384,II. Abdülhamid Türbesi,,historic,12,0.2315694453237639,0.5,1,0.8210574583077491,0.7953630943761127,,,,,
