poi_id,name,category,lat,lon,category_clean
5506396363,500. Yıl Vakfı Türk Musevileri Müzesi,tourism:museum,41.0267866,28.9727283,museum
5586475050,Buharizade Mustafa Efendi (Itri),historic:tomb,41.0345631,28.9332608,historic
5599994986,Surp Kevork Kilisesi,tourism:attraction,41.0018646,28.9331468,attraction
5602054323,Çiçek Pasajı,tourism:attraction,41.0340997,28.9779211,attraction
5627402865,Kanuni Sultan Süleyman Parkı,leisure:park,40.9457128,29.1644744,park
5640069827,İstanbul Modern Sanat Müzesi,tourism:museum,41.025911,28.982812,museum
5645608922,Pireci Studio,tourism:museum,41.0526945,29.2379176,museum
5667641577,belgradkapı tesisleri,tourism:attraction,41.0019893,28.9185699,attraction
5739423535,Bukoleon Tower,historic:tower,41.0024186,28.9768533,historic
5783643263,Fransiz Gecidi,tourism:attraction,41.0245125,28.9793708,attraction
5787843345,Eğrikapı,historic:city_gate,41.0364729,28.9393976,historic
5872511485,Borusan Holding,tourism:museum,41.0892526,29.0565723,museum
6116486887,Charlie Chaplin Köşesi,tourism:attraction,41.0250792,28.9788924,attraction
6132230786,Fransız Geçidi,tourism:attraction,41.024615,28.9792854,attraction
6171043314,Şehit Uğur Taşçı Anıtı,historic:monument,41.1325992,29.0401268,historic
6180706492,Saray Koleksiyonları Müzesi,tourism:museum,41.04121,29.004119,museum
6185937305,Sabanci Universitesi Kasa Galerisi,tourism:museum,41.0238431,28.9750813,museum
6190558860,Selamiali efendi mezarı,historic:tomb,41.0236472,29.0296013,historic
6227853090,Chill Pilates,leisure:park,41.0606771,28.9879028,park
6271889966,Atatürk Büstü,historic:memorial,41.0166351,29.0456912,historic
6304199185,mezarlık,historic:memorial,41.0562805,29.0577323,historic
6327118881,Melantias,historic:archaeological_site,41.0584379,28.7383917,historic
6345489656,Tarihi Hamam,historic:ruins,41.1761776,29.6118871,historic
6348012656,Surp Boğos,tourism:attraction,41.1622847,29.046941,attraction
6373152085,Prison of Anemas,tourism:attraction,41.038414,28.9407981,attraction
6374154935,A Caddesi Parkı,leisure:park,41.088784,28.8708372,park
6394103487,1453,historic:memorial,41.025896,29.0099698,historic
6395643585,Canfeda Tekkesi Haziresi,historic:memorial,41.0320931,28.9896659,historic
6398329629,Spradon,historic:ruins,41.0686511,28.7086192,historic
6401620528,Atatürk,historic:memorial,40.9693576,29.1514184,historic
6425397850,15 Temmuz Millet Bahçesi,leisure:park,41.0590835,28.8794972,park
6432801437,Turgut Reis,historic:memorial,41.0135331,28.9873206,historic
6457625186,Merdivenli Yokuş Evleri,tourism:attraction,41.0313056,28.9462268,attraction
6502392074,Atatürk Anıtı,historic:monument,41.1958042,28.3302282,historic
6502395905,Atatürk Büstü,historic:monument,41.0688232,28.1268291,historic
6573166973,Atatürk Büstü,historic:memorial,41.2793031,28.8095306,historic
6654822990,Büyük Atatürk Parkı,leisure:park,41.0012198,28.5380949,park
6654822991,Barış Manço Parkı,leisure:park,40.9940824,28.5375018,park
6746010854,Çocuk Parkı,leisure:park,41.2102317,29.020361,park
6746010855,Çocuk Parkı,leisure:park,41.2119899,29.0234173,park
6762559885,Bamboo Beach,tourism:attraction,41.2452616,29.0273091,attraction
6781557685,منزل ايهاب أبو عرمانة,tourism:attraction,41.0517652,28.837693,attraction
6790724255,Zübeyde Hanim,historic:memorial,41.0187122,29.0131431,historic
6811908186,Pelit Çıkolata Müzesi,tourism:attraction,41.0585054,28.6646441,attraction
6822252690,Altıntepsi Su Terazisi,historic:ruins,41.0346712,28.8968447,historic
6834315797,Sadrazam Bahir Mustafa Paşa Çeşmesi,historic:yes,41.0425394,28.9181886,historic
6861167471,Tarihi Sütun,historic:monument,41.0120877,29.0550874,historic
6874145759,Hanımefendi Park,leisure:park,41.0625013,28.9861619,park
6879165718,15 Temmuz Şehitleri Zafer Anıtı,historic:memorial,41.03699,29.0422754,historic
6906376960,Atatürk Heykeli,historic:memorial,40.980993,28.8733388,historic
6914442986,Fatih Sultan Mehmet Anıtı,historic:memorial,41.0303472,28.9370228,historic
6916379085,İstanbul’un Orta Noktası,historic:memorial,41.0131228,28.957839,historic
7004127456,Peace Pole,historic:memorial,41.0830989,29.0522193,historic
7099516987,Kamondo Merdivenleri,historic:memorial,41.0239741,28.9737825,historic
7107675458,Atatürk Anıtı,historic:monument,41.4132745,28.1853018,historic
7177998220,Binkılıç Bizans Kalesi,historic:castle,41.419602,28.189778,historic
7389731686,şişecam paşabahçe tuzla,historic:monument,40.8398157,29.3134604,historic
7491912985,Abacı Dede Türbesi,historic:memorial,41.0195837,29.0224407,historic
7498460446,Prestij 4 Konakları,leisure:park,40.9990821,28.6357263,park
7506534954,Emin Baba Tekkesi,historic:building,41.0325687,28.9362445,historic
7580601342,Discovery Museum,tourism:museum,41.0673647,28.691469,museum
7590452336,Kerim Tekin Sokak Parkı,leisure:park,41.0060194,28.8797345,park
7651602485,Büyükçekmece Atatürk Anıtı,historic:monument,41.0191302,28.5832365,historic
7651620473,Şampiyonlar Anıtı,historic:monument,41.0207103,28.5859734,historic
7723882285,ARSAMIN YERİ,historic:memorial,41.2354596,28.5648025,historic
7816988589,Sarıkavak Kalesi,historic:castle,41.0185817,29.6458173,historic
8010781085,Plaj,tourism:attraction,40.8384284,29.1207115,attraction
8050489585,MSGSÜ Istanbul Resim ve Heykel Müzesi,tourism:museum,41.0274396,28.984281,museum
8068541139,Piri Reis park,leisure:park,40.9803967,28.5990086,park
8071687535,İstanbul Havalimanı Müzesi,tourism:museum,41.2613157,28.7418358,museum
8145834349,Pınar Mah. Parkı,leisure:park,41.1261171,29.0317932,park
8145881589,Harem-Üsküdar Arası Sahil Parkları,leisure:park,41.0199993,29.0076855,park
8145923287,Maltepe Kumcular İBB Sosyal Tesisler Arası Kara ve Deniz Tarafı,leisure:park,40.9017431,29.1447437,park
8146165426,Balibey Muhtarlık Parkı,leisure:park,41.1764232,29.6186149,park
8146208979,Mesut Sokak Parkı,leisure:park,41.1709054,29.6104261,park
8204835317,Evcik Plajı,tourism:attraction,41.4505511,28.38378,attraction
8204836917,Anastasias Walls,tourism:attraction,41.4501814,28.3817695,attraction
8204998817,Aynalıkavak Kasrı (Milli Saraylar),tourism:attraction,41.0372674,28.9554478,attraction
